id	name	file	license	author	source_url
4185	абрикос	Prunus armeniaca, Apricot, Khubani (खुबानी).jpg	CC BY-SA 4.0	Rajani Gairshail	https://commons.wikimedia.org/wiki/File:Prunus_armeniaca,_Apricot,_Khubani_(%E0%A4%96%E0%A5%81%E0%A4%AC%E0%A4%BE%E0%A4%A8%E0%A5%80).jpg
4193	авокадо	Avocado Hass - single and halved.jpg	CC BY-SA 4.0	Ivar Leidus	https://commons.wikimedia.org/wiki/File:Avocado_Hass_-_single_and_halved.jpg
custom-24	агар-агар	Agar-agar.jpg	CC BY-SA 3.0	Unkky	https://commons.wikimedia.org/wiki/File:Agar-agar.jpg
sk-875	айва	Quince-israel.jpg	CC BY-SA 2.5	Golf Bravo	https://commons.wikimedia.org/wiki/File:Quince-israel.jpg
sk-864	алыча	Cherry plums.jpg	CC BY-SA 3.0	—	https://commons.wikimedia.org/wiki/File:Cherry_plums.jpg
custom-56	амарант	Amaranthus kiwicha.jpg	CC BY-SA 3.0	Crops for the Future	https://commons.wikimedia.org/wiki/File:Amaranthus_kiwicha.jpg
sk-897	ананас	Fresh pineapple and mango.jpg	CC BY-SA 4.0	Joseph Sly1015	https://commons.wikimedia.org/wiki/File:Fresh_pineapple_and_mango.jpg
sk-890	апельсин	Oranges - whole-halved-segment.jpg	CC BY-SA 4.0	Ivar Leidus	https://commons.wikimedia.org/wiki/File:Oranges_-_whole-halved-segment.jpg
sk-689	арахис	Peanuts (Arachis hypogaea) - in shell, shell cracked open, shelled, peeled.jpg	CC BY-SA 4.0	Ivar Leidus	https://commons.wikimedia.org/wiki/File:Peanuts_(Arachis_hypogaea)_-_in_shell,_shell_cracked_open,_shelled,_peeled.jpg
sk-918	арбуз	Slices of fresh watermelon.jpg	CC BY 4.0	Rica Rentutar	https://commons.wikimedia.org/wiki/File:Slices_of_fresh_watermelon.jpg
1693	артишок	Artichoke ready to cook.jpg	CC BY-SA 3.0	Keagiles	https://commons.wikimedia.org/wiki/File:Artichoke_ready_to_cook.jpg
custom-14	базилик	Fresh Basil Plant.jpg	CC BY-SA 4.0	Nabunje Leticia	https://commons.wikimedia.org/wiki/File:Fresh_Basil_Plant.jpg
sk-824	баклажан	An aubergine-eggplant-brinjal plant with a hanging fruit..jpg	CC BY-SA 4.0	Azreey	https://commons.wikimedia.org/wiki/File:An_aubergine-eggplant-brinjal_plant_with_a_hanging_fruit..jpg
sk-898	банан	Cavendish banana from Maracaibo.jpg	CC BY-SA 3.0	Wilfredor	https://commons.wikimedia.org/wiki/File:Cavendish_banana_from_Maracaibo.jpg
1337	банановые чипсы	Kerala banana chips Upperi varuthath.jpg	CC BY-SA 2.0	Ramesh NG	https://commons.wikimedia.org/wiki/File:Kerala_banana_chips_Upperi_varuthath.jpg
sk-172	баранина	Arabian Nights Entertainments (1728)-Vol. 4.djvu	Public domain	Antoine Galland	https://commons.wikimedia.org/wiki/File:Arabian_Nights_Entertainments_(1728)-Vol._4.djvu
sk-592	баранки	Bublik baranka sushka.png	CC BY-SA 4.0	Original image: Ural-66 ; reprocessed version by Off-shell	https://commons.wikimedia.org/wiki/File:Bublik_baranka_sushka.png
sk-587	батон	Breads of Moskovskaya Oblast. img 008.jpg	CC BY-SA 4.0	Dmitry Makeev	https://commons.wikimedia.org/wiki/File:Breads_of_Moskovskaya_Oblast._img_008.jpg
7080	бекон	Strip of Bacon with egg Omelette.jpg	CC BY 2.0	paleosafe	https://commons.wikimedia.org/wiki/File:Strip_of_Bacon_with_egg_Omelette.jpg
sk-167	белок	Bowl of egg whites no bg.png	CC BY-SA 3.0	Douglas P Perkins	https://commons.wikimedia.org/wiki/File:Bowl_of_egg_whites_no_bg.png
sk-847	белые грибы	Common porcini mushroom (Boletus edulis), Hiiumaa, Estonia.jpg	CC BY-SA 4.0	Hartmut Schmidt Heidelberg	https://commons.wikimedia.org/wiki/File:Common_porcini_mushroom_(Boletus_edulis),_Hiiumaa,_Estonia.jpg
7861	бразильский орех	Bertholletia excelsa.jpg	Public domain	—	https://commons.wikimedia.org/wiki/File:Bertholletia_excelsa.jpg
2867	брокколи	Fresh broccoli.jpg	CC BY-SA 4.0	Halima Waziri	https://commons.wikimedia.org/wiki/File:Fresh_broccoli.jpg
